DATE,TOTAL_ACTIVE_USERS,SWAP_TXNS,MINT_LIQUIDITY_TXNS,BURN_LIQUIDITY_TXNS,INCREASE_LIQUIDITY_TXNS,DECREASE_LIQUIDITY_TXNS,TOTAL_ACTIVE_POOLS,TOTAL_TXN_FEE_ETH,AVG_TXN_FEE_ETH,TOTAL_TXN_FEE_USD,AVG_TXN_FEE_USD,VOLUME_USD,PROTOCOL_FEES_USD
2023-01-01 00:00:00.000,22399,78355,21,7,1368,527,972,12.122769206,0.0001034260076,14509.570630416,0.1237891225,15205501,20445
2023-01-02 00:00:00.000,25217,100286,10,4,1973,799,1112,18.156907317,0.0001103884152,21998.113148777,0.133741766,40106054,51304
2023-01-03 00:00:00.000,34246,128904,18,2,2025,952,1111,24.126123612,0.00012274365,29293.816603396,0.1490347156,36311687,49696
2023-01-04 00:00:00.000,36271,150967,26,7,2569,1507,1127,36.797521256,0.0001470747784,45768.177550996,0.1829292936,74464015,74173
2023-01-05 00:00:00.000,33846,126278,18,4,1697,769,1075,26.535685527,0.0001402905953,33210.71829658,0.1755805945,36958329,59159
2023-01-06 00:00:00.000,36659,141145,27,2,1914,1132,1065,37.610061664,0.0001455813244,47224.280009815,0.1827961168,50551667,64057
2023-01-07 00:00:00.000,38672,138127,9,1,2318,824,1061,22.014397215,0.000107168262,27867.221824636,0.1356603908,25952545,41788
2023-01-08 00:00:00.000,36070,141212,6,3,6077,1381,1052,33.320628913,0.0001347158928,42173.05833605,0.1705064217,55071347,97290
2023-01-09 00:00:00.000,39888,186780,25,2,4378,2153,1135,49.947246528,0.0001470671703,65802.77136165,0.1937529705,100674323,163281
2023-01-10 00:00:00.000,38250,156825,10,5,3446,1353,1169,35.246547047,0.0001376667671,46863.697579568,0.1830412985,61884833,84190
2023-01-11 00:00:00.000,38632,164160,15,2,2607,1336,1159,40.092234102,0.000141765854,53521.969834102,0.1892533038,75157517,88035
2023-01-12 00:00:00.000,42542,218772,12,1,3168,2223,1206,66.789167152,0.0001529003518,93270.744115267,0.2135245908,144475558,162900
2023-01-13 00:00:00.000,39571,192672,20,12,2623,1871,1156,67.047407546,0.0001702069409,94816.610086647,0.2407020009,116488310,169020
2023-01-14 00:00:00.000,40736,243748,40,38,3239,2421,1302,93.96353577,0.0001674159402,142423.041027515,0.2537568124,197607952,229343
2023-01-15 00:00:00.000,38280,189113,14,6,2151,1421,1203,48.558562666,0.0001264575541,74711.520742018,0.1945658121,95522142,110261
2023-01-16 00:00:00.000,38915,199174,21,28,2424,1769,1191,54.767491622,0.0001397703945,85384.909783806,0.2179081454,123633023,144318
2023-01-17 00:00:00.000,34275,171732,15,3,2228,1489,1090,47.772881717,0.0001454291124,75092.342619865,0.2285943896,125306517,152512
2023-01-18 00:00:00.000,22094,150719,21,12,2367,1681,1116,65.54066712,0.0001993480864,103075.196748023,0.3135128789,174587068,195773
2023-01-19 00:00:00.000,24182,106482,27,7,3930,1310,1083,30.053637023,0.0001407269012,45992.800689,0.2153624306,78864670,96582
2023-01-20 00:00:00.000,22881,130150,26,15,2543,1860,1168,45.032936072,0.0001475043681,71152.594967879,0.2330587227,114973438,136447
2023-01-21 00:00:00.000,22492,159786,22,10,2833,2046,1250,50.787321147,0.0001121288858,83908.767901205,0.1852548321,140300366,187034
2023-01-22 00:00:00.000,19991,143864,13,9,2189,1332,1167,37.745555212,0.0001048129534,61670.32848435,0.1712479583,110003902,152795
2023-01-23 00:00:00.000,20999,139928,6,4,2266,1310,1152,39.42400121,0.000122900434,64233.818331429,0.200242591,131964234,179516
2023-01-24 00:00:00.000,23872,149157,17,11,2363,1368,1276,49.477404684,0.0001374822989,80278.906447194,0.2230700798,131566889,184764
2023-01-25 00:00:00.000,23101,174916,20,9,2745,1716,1323,59.771569481,0.0001306690892,93077.263290014,0.2034800379,168602476,231097
2023-01-26 00:00:00.000,24115,155286,14,11,2435,1249,1292,45.978383872,0.000125797917,74050.61752476,0.2026041947,135714012,218936
2023-01-27 00:00:00.000,26142,154988,16,8,2565,1402,1326,44.916332373,0.0001301843435,71289.050623561,0.2066223523,135871130,188626
2023-01-28 00:00:00.000,25094,127126,10,3,2178,1092,1266,29.438223206,0.0001026526831,46737.686813248,0.1629768523,81754676,129865
2023-01-29 00:00:00.000,27246,153157,16,4,2576,1675,1289,38.750647998,0.0001171652471,62321.535482258,0.1884334452,149886121,216484
2023-01-30 00:00:00.000,31187,180919,13,8,2610,1501,1386,44.188983021,0.0001190394276,70724.689340061,0.1905232019,158466462,222015
2023-01-31 00:00:00.000,28134,156199,14,7,2215,1315,1306,45.247787775,0.0001474099787,71544.122405526,0.2330791863,106846622,149830
2023-02-01 00:00:00.000,29777,188479,20,10,3118,2136,1404,90.851131447,0.0001879081163,144265.96410442,0.2983864387,220450255,338774
2023-02-02 00:00:00.000,34680,206516,57,13,4482,3295,1465,81.210264926,0.0001689040819,135602.257578195,0.2820305394,231627544,355192
2023-02-03 00:00:00.000,32002,180857,30,3,3682,2481,1426,64.392307996,0.0001718980128,106256.493756504,0.2836562423,192795752,323503
2023-02-04 00:00:00.000,34985,165879,20,13,3495,2207,1473,45.228728177,0.0001439584701,75417.18290019,0.2400452701,140617941,290918
2023-02-05 00:00:00.000,34013,190272,38,17,3310,2036,1482,48.524866159,0.000132440115,80220.804133291,0.2189486208,166807089,285321
2023-02-06 00:00:00.000,37283,199417,30,8,4034,2359,1476,53.812577167,0.0001472235885,87972.703233889,0.2406808546,190927857,377487
2023-02-07 00:00:00.000,41946,214256,17,61,4222,2714,1509,73.154659137,0.0001874275488,120130.302353857,0.3077825578,251125999,444613
2023-02-08 00:00:00.000,42348,220613,16,31,3895,2511,1528,80.939629125,0.0002023222651,134974.87240024,0.3373924765,168673339,381119
2023-02-09 00:00:00.000,43451,248932,18,35,4679,3604,1503,129.519408265,0.0002607178394,209827.79509811,0.4223756896,274362383,504626
2023-02-10 00:00:00.000,48535,232107,19,13,4240,2667,1531,78.532000266,0.0001794344526,120916.206808057,0.2762763371,199423428,306813
2023-02-11 00:00:00.000,35953,164664,5,12,3266,1785,1542,45.574197472,0.0001531617493,69299.563354067,0.2328958695,91626056,173904
