DATE,CATEGORY,TOTAL_ACTIVE_USERS,SWAP_TXNS,TOTAL_ACTIVE_POOLS,TOTAL_TXN_FEE_ETH,AVG_TXN_FEE_ETH,TOTAL_TXN_FEE_USD,AVG_TXN_FEE_USD,VOLUME_USD
2023-01-01 00:00:00.000,Full Stablecoin Pairs,5991,11100,76,1.570985666,0.0001034260076,1880.656702359,0.1237891225,16384.56
2023-01-01 00:00:00.000,Partial Stablecoin Pairs,16902,44869,395,6.411357505,0.0001034260076,7672.997699353,0.1237891225,938161.24
2023-01-02 00:00:00.000,Full Stablecoin Pairs,7004,14125,91,2.208450383,0.0001103884152,2676.561343048,0.133741766,6932.81
2023-01-02 00:00:00.000,Partial Stablecoin Pairs,19414,55202,482,9.546195444,0.0001103884152,11564.999345067,0.133741766,1648152.38
2023-01-03 00:00:00.000,Full Stablecoin Pairs,10923,19709,92,2.795674187,0.00012274365,3394.869176743,0.1490347156,10.12
2023-01-03 00:00:00.000,Partial Stablecoin Pairs,26014,68035,468,12.478319413,0.00012274365,15150.736371388,0.1490347156,1054549.92
2023-01-04 00:00:00.000,Full Stablecoin Pairs,11776,22535,87,5.023651906,0.0001470747784,6237.790133377,0.1829292936,50976.19
2023-01-04 00:00:00.000,Partial Stablecoin Pairs,27549,85295,482,19.437783313,0.0001470747784,24170.843037483,0.1829292936,2594792.74
2023-01-05 00:00:00.000,Full Stablecoin Pairs,10561,18592,76,3.02629206,0.0001402905953,3787.719178831,0.1755805945,69654.9
2023-01-05 00:00:00.000,Partial Stablecoin Pairs,25238,67364,440,13.987947439,0.0001402905953,17505.923581764,0.1755805945,1229438.08
2023-01-06 00:00:00.000,Full Stablecoin Pairs,15166,25952,87,4.026973858,0.0001455813244,5048.658288372,0.1827961168,231805.73
2023-01-06 00:00:00.000,Partial Stablecoin Pairs,25690,71396,436,15.593216458,0.0001455813244,19561.686398555,0.1827961168,1865983.3
2023-01-07 00:00:00.000,Full Stablecoin Pairs,17220,29675,84,3.328699813,0.000107168262,4213.799976281,0.1356603908,255491.92
2023-01-07 00:00:00.000,Partial Stablecoin Pairs,24795,62272,446,10.687968683,0.000107168262,13529.675402682,0.1356603908,658163.94
